workload,baseline_ns,candidate_ns,native_delta_percent,native_uncertainty_ns,native_failed,baseline_instructions,candidate_instructions,instructions_delta_percent,instructions_failed
agg_group_by_having,134200.0,134600.0,0.29806259314456035,24800.0,False,1520751,1519101,-0.10849902449513431,False
agg_window_functions,214700.0,212500.0,-1.0246856078248718,43600.0,False,2568695,2565753,-0.11453286591051098,False
compound_union_all/4,49290.0,48560.0,-1.4810306350172449,5940.0,False,562803,559963,-0.5046170684946598,False
compound_union_all/16,153000.0,151800.0,-0.7843137254901961,36600.0,False,1993245,1985965,-0.36523357640430554,False
compound_union_all/64,563600.0,567100.0,0.6210078069552875,109900.0,False,7708206,7683166,-0.3248486093910827,False
compound_union_distinct,134600.0,141300.0,4.977711738484398,36800.0,False,1396666,1394029,-0.18880677270013016,False
corpus_clickbench/1,40760.0,36750.0,-9.838076545632973,30300.0,False,364225,362576,-0.45274212368728123,False
corpus_clickbench/2,58640.0,55240.0,-5.798090040927694,18570.0,False,565392,563742,-0.29183292299855673,False
corpus_clickbench/3,63900.0,69390.0,8.591549295774648,45900.0,False,697831,696181,-0.23644693342657463,False
corpus_clickbench/4,48570.0,50860.0,4.714844554251596,20480.0,False,521773,520124,-0.3160378172116993,False
corpus_clickbench/5,48380.0,50190.0,3.7412153782554776,18680.0,False,535693,534044,-0.30782556426908697,False
corpus_clickbench/6,46140.0,48810.0,5.7867360208062415,43730.0,False,508694,507045,-0.3241634460009357,False
corpus_clickbench/7,61740.0,56990.0,-7.693553611920959,40140.0,False,659531,657882,-0.250026154949502,False
corpus_clickbench/8,85170.0,81450.0,-4.367735117999295,54160.0,False,916763,915113,-0.1799810856240926,False
corpus_clickbench/9,79120.0,76800.0,-2.9322548028311424,24430.0,False,847614,845965,-0.19454610235319378,False
corpus_clickbench/10,115700.0,100600.0,-13.050993949870355,51080.0,False,1255856,1254206,-0.13138448994152196,False
corpus_clickbench/11,103900.0,88910.0,-14.427333974975939,21230.0,False,1041751,1040101,-0.15838717697415217,False
