workload,baseline_ns,candidate_ns,native_delta_percent,native_uncertainty_ns,native_failed,baseline_instructions,candidate_instructions,instructions_delta_percent,instructions_failed
automatic/anti_or_nulls,921800.0,422000.0,-54.22000433933608,47500.0,False,11179999,5216169,-53.34374359067474,False
automatic/derived_limit,19290000.0,19090000.0,-1.0368066355624677,1300000.0,False,232604364,232618409,0.006038149825942217,True
automatic/exists_distinct_16,6322000.0,6273000.0,-0.7750711800063271,1775000.0,False,86465516,86487727,0.025687697278068636,True
automatic/exists_distinct_256,5619000.0,5551000.0,-1.2101797472859939,1127000.0,False,78370690,78388575,0.022821031689270566,True
automatic/exists_high_selectivity,6247000.0,6328000.0,1.296622378741796,97000.0,False,86016124,86038748,0.02630204541650819,True
automatic/exists_indexed,5886000.0,5898000.0,0.2038735983690112,350000.0,False,81834641,81855005,0.024884327408487072,True
automatic/exists_low_selectivity,5526000.0,5580000.0,0.9771986970684039,204000.0,False,77549200,77565681,0.021252314659596747,True
automatic/exists_nulls,5807000.0,5911000.0,1.790941966592044,265000.0,False,80359107,80377500,0.02288850721051442,True
automatic/exists_outer_16,5316000.0,5318000.0,0.03762227238525207,180000.0,False,75302929,75311287,0.011099169860975793,True
automatic/exists_outer_256,5988000.0,5913000.0,-1.25250501002004,669000.0,False,81835085,81855519,0.02496973028133349,True
automatic/exists_outer_1024,7879000.0,7909000.0,0.38075897956593474,635000.0,False,103683512,103733197,0.047919865986021,True
automatic/exists_skewed,6371000.0,6278000.0,-1.4597394443572438,288000.0,False,87065955,87087892,0.025195841474431654,True
automatic/inequality,18830000.0,5904000.0,-68.64577801380776,660000.0,False,228087288,82896497,-63.65580137021928,False
automatic/inequality_indexed,18850000.0,5946000.0,-68.45623342175067,880000.0,False,228087400,82909411,-63.65015735196245,False
automatic/nested_depth_2,28900000.0,28820000.0,-0.2768166089965398,1860000.0,False,348707802,348715746,0.0022781251106047807,True
automatic/nested_depth_4,29430000.0,29170000.0,-0.8834522595990486,1800000.0,False,354457956,354468724,0.0030378779253582336,True
automatic/scalar_first_ordered,50110000.0,49740000.0,-0.7383755737377768,4290000.0,False,615738160,616048848,0.05045781148272506,True
automatic/scalar_sum_equality,34500000.0,34390000.0,-0.3188405797101449,2440000.0,False,415497878,415524662,0.006446242307884903,True
automatic/scalar_sum_inequality,37290000.0,37280000.0,-0.026816840976133013,1940000.0,False,457238088,457383544,0.03181187303014004,True
disabled/anti_or_nulls,904000.0,889500.0,-1.6039823008849559,151600.0,False,11180031,11192367,0.11033958671492056,True
disabled/derived_limit,19110000.0,19130000.0,0.10465724751439037,880000.0,False,232603929,232618212,0.006140480971841194,True
disabled/exists_distinct_16,1696000.0,1677000.0,-1.1202830188679245,252000.0,False,20713649,20722001,0.04032123939147564,True
disabled/exists_distinct_256,30420000.0,29790000.0,-2.0710059171597632,1820000.0,False,364223419,364229979,0.001801092312518213,True
disabled/exists_high_selectivity,4825000.0,4822000.0,-0.06217616580310881,286000.0,False,58450697,58459049,0.014288965621744426,True
disabled/exists_indexed,18310000.0,18180000.0,-0.70999453850355,1160000.0,False,221816103,221823199,0.0031990463740137025,True
disabled/exists_low_selectivity,31610000.0,31560000.0,-0.15817779183802594,1180000.0,False,383972613,383978813,0.0016146984941345283,True
disabled/exists_nulls,22440000.0,22420000.0,-0.08912655971479501,1730000.0,False,273446373,273453213,0.002501404544137069,True
disabled/exists_outer_16,111500.0,108100.0,-3.0493273542600896,15900.0,False,1342490,1343042,0.04111762471228836,True
disabled/exists_outer_256,18650000.0,18170000.0,-2.5737265415549597,1140000.0,False,221816103,221823199,0.0031990463740137025,True
disabled/exists_outer_1024,73960000.0,72810000.0,-1.5548945375878853,3460000.0,False,887153210,887181922,0.0032364195582406784,True
disabled/exists_skewed,2792000.0,2774000.0,-0.6446991404011462,131000.0,False,34449318,34457446,0.023594081020704098,True
disabled/inequality,18700000.0,18750000.0,0.26737967914438504,2000000.0,False,228087320,228094496,0.0031461634956296562,True
disabled/inequality_indexed,18780000.0,18640000.0,-0.7454739084132055,1010000.0,False,228087320,228094496,0.0031461634956296562,True
disabled/nested_depth_2,28990000.0,28900000.0,-0.3104518799586064,2070000.0,False,348707682,348715626,0.0022781258945709145,True
disabled/nested_depth_4,29230000.0,29310000.0,0.2736914129319193,1740000.0,False,354457964,354468612,0.003004023348731981,True
disabled/scalar_first_ordered,49970000.0,49950000.0,-0.040024014408645184,5050000.0,False,615734461,616007813,0.04439446178731906,True
disabled/scalar_sum_equality,34200000.0,34260000.0,0.17543859649122806,1930000.0,False,415497886,415524550,0.006417361170400756,True
disabled/scalar_sum_inequality,37490000.0,37210000.0,-0.7468658308882369,1770000.0,False,457237984,457418004,0.039371182250685456,True
forced/anti_or_nulls,892900.0,408300.0,-54.27259491544406,97500.0,False,11179927,5216169,-53.34344311908298,False
forced/derived_limit,19100000.0,6295000.0,-67.04188481675392,1030000.0,False,232604320,87356900,-62.44399072209837,False
forced/exists_distinct_16,6269000.0,6279000.0,0.1595150741745095,350000.0,False,86446548,86468647,0.02556377381315446,True
forced/exists_distinct_256,5592000.0,5820000.0,4.07725321888412,275000.0,False,78371095,78388438,0.022129332249345247,True
forced/exists_high_selectivity,6265000.0,6325000.0,0.9577015163607342,665000.0,False,86017363,86039957,0.026266789880550048,True
forced/exists_indexed,5910000.0,5924000.0,0.23688663282571912,115000.0,False,81843180,81862040,0.023044070379474504,True
forced/exists_low_selectivity,5569000.0,5513000.0,-1.0055665289998204,210000.0,False,77549613,77565681,0.02071963918117812,True
forced/exists_nulls,5754000.0,5773000.0,0.33020507473062216,258000.0,False,80360338,80377573,0.02144714722329814,True
forced/exists_outer_16,5355000.0,5347000.0,-0.14939309056956115,184000.0,False,75304168,75313360,0.012206495661700957,True
forced/exists_outer_256,5831000.0,5799000.0,-0.5487909449494084,985000.0,False,81851192,81871243,0.024496894315234895,True
forced/exists_outer_1024,7884000.0,7777000.0,-1.3571790969051243,1155000.0,False,103680236,103733588,0.05145821620236281,True
forced/exists_skewed,6336000.0,6322000.0,-0.22095959595959597,189000.0,False,87066480,87089213,0.026109933466932394,True
forced/inequality,18760000.0,5917000.0,-68.4594882729211,1100000.0,False,228087320,82898600,-63.65488445390125,False
forced/inequality_indexed,18820000.0,5926000.0,-68.51222104144527,870000.0,False,228087208,82894018,-63.65687548773011,False
forced/nested_depth_2,28700000.0,28810000.0,0.3832752613240418,1540000.0,False,348707682,348715626,0.0022781258945709145,True
forced/nested_depth_4,29490000.0,29210000.0,-0.9494743981010512,1380000.0,False,354457964,354468724,0.0030356208895901686,True
forced/scalar_first_ordered,49780000.0,49640000.0,-0.2812374447569305,1920000.0,False,615733035,616008618,0.04475689695616218,True
forced/scalar_sum_equality,34420000.0,34010000.0,-1.1911679256246368,2470000.0,False,415497998,415524662,0.006417359440562214,True
forced/scalar_sum_inequality,37510000.0,37400000.0,-0.2932551319648094,1600000.0,False,457238096,457383432,0.03178562794120287,True
