workload,baseline_ns,candidate_ns,native_delta_percent,native_uncertainty_ns,native_failed,baseline_instructions,candidate_instructions,instructions_delta_percent,instructions_failed
automatic/joined_input_anti,25580000.0,12470000.0,-51.250977326035965,1610000.0,False,312585515,170901270,-45.32655487891049,False
automatic/joined_input_equality,25300000.0,13090000.0,-48.26086956521739,12800000.0,False,310000260,176173478,-43.16989347041193,False
automatic/joined_input_inequality,25980000.0,12930000.0,-50.23094688221709,8120000.0,False,316044405,175840086,-44.362221504917954,False
automatic/scalar_count_indexed_small,1536000.0,1538000.0,0.13020833333333334,418000.0,False,19000464,19000464,0.0,False
disabled/joined_input_anti,25680000.0,25340000.0,-1.32398753894081,5790000.0,False,312583984,312583824,-5.118624375841342e-05,False
disabled/joined_input_equality,25820000.0,24970000.0,-3.292021688613478,2960000.0,False,309998668,309998508,-5.161312499574998e-05,False
disabled/joined_input_inequality,25760000.0,25240000.0,-2.018633540372671,2920000.0,False,316062637,316062778,4.461141036420575e-05,True
disabled/scalar_count_indexed_small,1534000.0,1508000.0,-1.694915254237288,98000.0,False,19000464,19000576,0.0005894592889942056,True
forced/joined_input_anti,25690000.0,12490000.0,-51.381860646165826,1280000.0,False,312584355,170896058,-45.328019375761784,False
forced/joined_input_equality,25430000.0,12950000.0,-49.07589461266221,840000.0,False,309998437,176171446,-43.17021475821183,False
forced/joined_input_inequality,26010000.0,13000000.0,-50.01922337562476,990000.0,False,316058425,175870074,-44.355201415687624,False
forced/scalar_count_indexed_small,2863000.0,2858000.0,-0.17464198393293748,149000.0,False,33732611,33732064,-0.0016215762248584908,True
