workload,baseline_ns,candidate_ns,native_delta_percent,native_uncertainty_ns,native_failed,baseline_instructions,candidate_instructions,instructions_delta_percent,instructions_failed
automatic/anti_or_nulls,899800.0,926500.0,2.967326072460547,135200.0,False,11179999,11192431,0.1111985788191931,True
automatic/derived_limit,19130000.0,19200000.0,0.36591740721380034,1140000.0,False,232604364,232618409,0.006038149825942217,True
automatic/exists_distinct_16,6317000.0,6382000.0,1.0289694475225581,423000.0,False,86465103,86487727,0.02616546932234615,True
automatic/exists_distinct_256,5612000.0,5631000.0,0.33856022808268,747000.0,False,78371628,78388575,0.021623896852059777,True
automatic/exists_high_selectivity,6240000.0,6261000.0,0.33653846153846156,832000.0,False,86016124,86038748,0.02630204541650819,True
automatic/exists_indexed,5892000.0,5929000.0,0.6279701289884589,797000.0,False,81835836,81855505,0.024034702840941224,True
automatic/exists_low_selectivity,5566000.0,5587000.0,0.37729069349622707,622000.0,False,77549613,77565681,0.02071963918117812,True
automatic/exists_nulls,5772000.0,5804000.0,0.5544005544005544,280000.0,False,80360235,80376484,0.02022019970449315,True
automatic/exists_outer_16,5317000.0,109500.0,-97.94056798946775,387000.0,False,75302516,1343050,-98.21646065584316,False
automatic/exists_outer_256,5995000.0,6027000.0,0.5337781484570475,1869000.0,False,81835498,81854908,0.023718313536749053,True
automatic/exists_outer_1024,7853000.0,7974000.0,1.5408124283713232,872000.0,False,103683624,103737269,0.0517391251679243,True
automatic/exists_skewed,6382000.0,6369000.0,-0.20369790034471952,126000.0,False,87065955,87087471,0.024712300002911587,True
automatic/inequality,18780000.0,18810000.0,0.1597444089456869,970000.0,False,228087288,228094576,0.003195267944963246,True
automatic/inequality_indexed,18610000.0,18890000.0,1.5045674368619022,520000.0,False,228087400,228094568,0.0031426549647196643,True
automatic/joined_input_anti,25030000.0,12530000.0,-49.940071913703555,1180000.0,False,312583389,170931150,-45.31662397453884,False
automatic/joined_input_equality,24730000.0,13100000.0,-47.027901334411645,350000.0,False,310029867,176211639,-43.16301177524938,False
automatic/joined_input_inequality,25190000.0,13230000.0,-47.479158396188964,3260000.0,False,316048513,175892893,-44.3462361741914,False
automatic/nested_depth_2,28410000.0,29030000.0,2.1823301654347063,560000.0,True,348707810,348715626,0.002241418108759881,True
automatic/nested_depth_4,29120000.0,29740000.0,2.129120879120879,1060000.0,False,354457956,354468724,0.0030378779253582336,True
automatic/nested_local_anti,3142000.0,3217000.0,2.387014640356461,451000.0,False,38642502,38646398,0.010082162899286387,True
automatic/nested_local_depth_2,3159000.0,3196000.0,1.1712567268122824,283000.0,False,38492438,38495310,0.007461205756829433,True
automatic/nested_local_depth_4,12930000.0,13190000.0,2.010827532869296,450000.0,False,161202823,161210959,0.005047058015851248,True
automatic/scalar_count_indexed_small,1511000.0,1498000.0,-0.8603573792190602,201000.0,False,19000464,19034920,0.18134293983557453,True
