Timer precision: 41 ns
unnesting_execution               fastest       │ slowest       │ median        │ mean          │ samples │ iters
├─ automatic                                    │               │               │               │         │
│  ├─ anti_or_nulls               912.6 µs      │ 1.158 ms      │ 932.4 µs      │ 954.5 µs      │ 10      │ 10
│  │                              max alloc:    │               │               │               │         │
│  │                                1           │ 1             │ 1             │ 1             │         │
│  │                                1.472 KB    │ 1.472 KB      │ 1.472 KB      │ 1.472 KB      │         │
│  │                              alloc:        │               │               │               │         │
│  │                                255         │ 255           │ 255           │ 255           │         │
│  │                                375.3 KB    │ 375.3 KB      │ 375.3 KB      │ 375.3 KB      │         │
│  │                              dealloc:      │               │               │               │         │
│  │                                255         │ 255           │ 255           │ 255           │         │
│  │                                375.3 KB    │ 375.3 KB      │ 375.3 KB      │ 375.3 KB      │         │
│  ├─ derived_limit               18.58 ms      │ 19.55 ms      │ 19.15 ms      │ 19.12 ms      │ 10      │ 10
│  │                              max alloc:    │               │               │               │         │
│  │                                26          │ 26            │ 26            │ 26            │         │
│  │                                22.75 KB    │ 22.75 KB      │ 22.75 KB      │ 22.75 KB      │         │
│  │                              alloc:        │               │               │               │         │
│  │                                302         │ 302           │ 302           │ 302           │         │
│  │                                417.6 KB    │ 417.6 KB      │ 417.6 KB      │ 417.6 KB      │         │
│  │                              dealloc:      │               │               │               │         │
│  │                                302         │ 302           │ 302           │ 302           │         │
│  │                                418.7 KB    │ 418.7 KB      │ 418.7 KB      │ 418.7 KB      │         │
│  │                              grow:         │               │               │               │         │
│  │                                9           │ 9             │ 9             │ 9             │         │
│  │                                1.091 KB    │ 1.091 KB      │ 1.091 KB      │ 1.091 KB      │         │
│  ├─ exists_distinct_16          6.219 ms      │ 7.102 ms      │ 6.403 ms      │ 6.516 ms      │ 10      │ 10
│  │                              max alloc:    │               │               │               │         │
│  │                                33          │ 33            │ 33            │ 33            │         │
│  │                                13.64 KB    │ 13.64 KB      │ 13.77 KB      │ 13.67 KB      │         │
│  │                              alloc:        │               │               │               │         │
│  │                                300         │ 300           │ 300.5         │ 300.2         │         │
│  │                                38.66 KB    │ 38.66 KB      │ 38.93 KB      │ 38.74 KB      │         │
│  │                              dealloc:      │               │               │               │         │
│  │                                295         │ 295           │ 295.5         │ 295.2         │         │
│  │                                34.28 KB    │ 34.28 KB      │ 34.42 KB      │ 34.32 KB      │         │
│  │                              grow:         │               │               │               │         │
│  │                                7           │ 7             │ 7             │ 7             │         │
│  │                                60 B        │ 60 B          │ 60 B          │ 60 B          │         │
│  │                              shrink:       │               │               │               │         │
│  │                                1           │ 1             │ 1             │ 1             │         │
│  │                                1 B         │ 1 B           │ 1 B           │ 1 B           │         │
│  ├─ exists_distinct_256         5.406 ms      │ 5.892 ms      │ 5.625 ms      │ 5.643 ms      │ 10      │ 10
│  │                              max alloc:    │               │               │               │         │
│  │                                33          │ 33            │ 33            │ 33            │         │
│  │                                13.64 KB    │ 13.64 KB      │ 13.64 KB      │ 13.67 KB      │         │
│  │                              alloc:        │               │               │               │         │
│  │                                300         │ 300           │ 300           │ 300.2         │         │
│  │                                38.66 KB    │ 38.66 KB      │ 38.66 KB      │ 38.74 KB      │         │
│  │                              dealloc:      │               │               │               │         │
│  │                                295         │ 295           │ 295           │ 295.2         │         │
│  │                                34.28 KB    │ 34.28 KB      │ 34.28 KB      │ 34.32 KB      │         │
│  │                              grow:         │               │               │               │         │
│  │                                7           │ 7             │ 7             │ 7             │         │
│  │                                60 B        │ 60 B          │ 60 B          │ 60 B          │         │
│  │                              shrink:       │               │               │               │         │
│  │                                1           │ 1             │ 1             │ 1             │         │
│  │                                1 B         │ 1 B           │ 1 B           │ 1 B           │         │
│  ├─ exists_high_selectivity     6.284 ms      │ 6.489 ms      │ 6.318 ms      │ 6.336 ms      │ 10      │ 10
│  │                              max alloc:    │               │               │               │         │
│  │                                33          │ 33            │ 33            │ 33            │         │
│  │                                13.64 KB    │ 13.64 KB      │ 13.77 KB      │ 13.67 KB      │         │
│  │                              alloc:        │               │               │               │         │
│  │                                300         │ 300           │ 300.5         │ 300.2         │         │
│  │                                38.66 KB    │ 38.66 KB      │ 38.93 KB      │ 38.74 KB      │         │
│  │                              dealloc:      │               │               │               │         │
│  │                                295         │ 295           │ 295.5         │ 295.2         │         │
│  │                                34.28 KB    │ 34.28 KB      │ 34.42 KB      │ 34.32 KB      │         │
│  │                              grow:         │               │               │               │         │
│  │                                7           │ 7             │ 7             │ 7             │         │
│  │                                60 B        │ 60 B          │ 60 B          │ 60 B          │         │
│  │                              shrink:       │               │               │               │         │
│  │                                1           │ 1             │ 1             │ 1             │         │
│  │                                1 B         │ 1 B           │ 1 B           │ 1 B           │         │
│  ├─ exists_indexed              5.729 ms      │ 6.214 ms      │ 5.95 ms       │ 5.957 ms      │ 10      │ 10
│  │                              max alloc:    │               │               │               │         │
│  │                                33          │ 33            │ 33            │ 33            │         │
│  │                                13.64 KB    │ 13.9 KB       │ 13.64 KB      │ 13.67 KB      │         │
│  │                              alloc:        │               │               │               │         │
│  │                                300         │ 301           │ 300           │ 300.2         │         │
│  │                                38.66 KB    │ 39.19 KB      │ 38.66 KB      │ 38.74 KB      │         │
│  │                              dealloc:      │               │               │               │         │
│  │                                295         │ 296           │ 295           │ 295.2         │         │
│  │                                34.28 KB    │ 34.56 KB      │ 34.28 KB      │ 34.32 KB      │         │
│  │                              grow:         │               │               │               │         │
