workload,baseline_ns,candidate_ns,native_delta_percent,native_uncertainty_ns,native_failed,baseline_instructions,candidate_instructions,instructions_delta_percent,instructions_failed
automatic/anti_or_nulls,899800.0,1324000.0,47.143809735496774,135200.0,True,11179999,10833364,-3.1004922272354407,False
automatic/derived_limit,19130000.0,28940000.0,51.2807109252483,1140000.0,True,232604364,232206440,-0.1710733165780157,False
automatic/exists_distinct_16,6317000.0,9852000.0,55.96010764603451,423000.0,True,86465103,85830845,-0.733542178282029,False
automatic/exists_distinct_256,5612000.0,8723000.0,55.43478260869565,747000.0,True,78371628,77888075,-0.6170000704846912,False
automatic/exists_high_selectivity,6240000.0,9692000.0,55.32051282051282,832000.0,True,86016124,85382662,-0.7364456459349412,False
automatic/exists_indexed,5892000.0,9233000.0,56.70400543109301,797000.0,True,81835836,81286527,-0.6712328325209509,False
automatic/exists_low_selectivity,5566000.0,8654000.0,55.4796981674452,622000.0,True,77549613,77076079,-0.6106207132200647,False
automatic/exists_nulls,5772000.0,8951000.0,55.076230076230075,280000.0,True,80360235,79861217,-0.6209762826104229,False
automatic/exists_outer_16,5317000.0,171800.0,-96.76885461726538,387000.0,False,75302516,1326727,-98.23813722240038,False
automatic/exists_outer_256,5995000.0,9076000.0,51.392827356130105,1869000.0,True,81835498,81287655,-0.6694442062294287,False
automatic/exists_outer_1024,7853000.0,11740000.0,49.49700751305234,872000.0,True,103683624,102182115,-1.4481640803758942,False
automatic/exists_skewed,6382000.0,9714000.0,52.209338765277344,126000.0,True,87065955,86439650,-0.719345466319183,False
automatic/inequality,18780000.0,27870000.0,48.40255591054313,970000.0,True,228087288,227885817,-0.08833065698952938,False
automatic/inequality_indexed,18610000.0,28330000.0,52.2299838796346,520000.0,True,228087400,227885809,-0.08838322502689758,False
automatic/joined_input_anti,25030000.0,19380000.0,-22.572912504994008,1180000.0,False,312583389,169854470,-45.66106966099853,False
automatic/joined_input_equality,24730000.0,19940000.0,-19.369187221997574,350000.0,False,310029867,174926183,-43.57763505410916,False
automatic/joined_input_inequality,25190000.0,20120000.0,-20.127034537514888,3260000.0,False,316048513,174637636,-44.74340842730053,False
automatic/nested_depth_2,28410000.0,42760000.0,50.510383667722635,560000.0,True,348707810,348374739,-0.09551578440414053,False
automatic/nested_depth_4,29120000.0,44750000.0,53.67445054945055,1060000.0,True,354457956,354044765,-0.11656981963750872,False
automatic/nested_local_anti,3142000.0,4817000.0,53.309993634627624,451000.0,True,38642502,38532989,-0.2834003864449564,False
automatic/nested_local_depth_2,3159000.0,4799000.0,51.915163026274136,283000.0,True,38492438,38411717,-0.20970612461595703,False
automatic/nested_local_depth_4,12930000.0,19340000.0,49.57463263727765,450000.0,True,161202823,160974048,-0.1419174898692686,False
automatic/scalar_count_indexed_small,1511000.0,2110000.0,39.64262078093977,201000.0,True,19000464,18034677,-5.082965342320061,False
automatic/scalar_first_ordered,49880000.0,74980000.0,50.320769847634324,3020000.0,True,615733241,608045578,-1.2485379200113706,False
automatic/scalar_sum_equality,34230000.0,50990000.0,48.96289804265265,1099999.9999999963,True,415497878,414617139,-0.21197196102166374,False
automatic/scalar_sum_inequality,37350000.0,55530000.0,48.674698795180724,730000.0,True,457238088,453147613,-0.8946050443636707,False
disabled/anti_or_nulls,900700.0,1378000.0,52.992117242145,77000.0,True,11180031,10833300,-3.101342026690266,False
disabled/derived_limit,19040000.0,28740000.0,50.945378151260506,340000.0,True,232603986,232206073,-0.17106886551806555,False
disabled/exists_distinct_16,1671000.0,2659000.0,59.12627169359665,186000.0,True,20713761,20478398,-1.1362639551552227,False
disabled/exists_distinct_256,29730000.0,44940000.0,51.160443995963675,790000.0,True,364223531,363926728,-0.08148924348328279,False
disabled/exists_high_selectivity,4992000.0,7232000.0,44.87179487179487,669000.0,True,58450809,58203158,-0.4236913128097166,False
disabled/exists_indexed,18130000.0,27450000.0,51.40650854936569,1250000.0,True,221815991,221543756,-0.12273010560361268,False
disabled/exists_low_selectivity,31180000.0,47660000.0,52.85439384220654,1180000.0,True,383972501,383672042,-0.07825013489703003,False
disabled/exists_nulls,22360000.0,34010000.0,52.10196779964222,910000.0,True,273446261,273211658,-0.08579491968259167,False
disabled/exists_outer_16,107100.0,173400.0,61.904761904761905,12300.0,True,1342490,1326719,-1.1747573538722822,False
disabled/exists_outer_256,18110000.0,27450000.0,51.57371617890668,390000.0,True,221815991,221543868,-0.12267961330163973,False
disabled/exists_outer_1024,72730000.0,110500000.0,51.9318025574041,1710000.0,True,887153210,886067775,-0.12235034352183655,False
disabled/exists_skewed,2736000.0,4253000.0,55.44590643274854,116000.0,True,34449318,34244458,-0.5946706985607088,False
disabled/inequality,18710000.0,28290000.0,51.20256547300909,570000.0,True,228087320,227885737,-0.08837974859803693,False
disabled/inequality_indexed,18630000.0,28520000.0,53.08641975308642,850000.0,True,228087208,227885625,-0.08837979199605091,False
disabled/joined_input_anti,24990000.0,38240000.0,53.02120848339336,1300000.0,True,312582704,311868323,-0.22854143586908124,False
disabled/joined_input_equality,24840000.0,37820000.0,52.254428341384866,1830000.0,True,309994430,309203869,-0.25502425962943914,False
disabled/joined_input_inequality,25450000.0,38470000.0,51.15913555992142,1150000.0,True,316046409,315333812,-0.22547226600508535,False
