workload,baseline_ns,candidate_ns,native_delta_percent,native_uncertainty_ns,native_failed,baseline_instructions,candidate_instructions,instructions_delta_percent,instructions_failed
automatic/anti_or_nulls,921800.0,445400.0,-51.68149273161206,47500.0,False,11179999,5216169,-53.34374359067474,False
automatic/derived_limit,19290000.0,6421000.0,-66.71332296526698,1300000.0,False,232604364,87351550,-62.44629786911479,False
automatic/exists_distinct_16,6322000.0,6330000.0,0.12654223347042076,1775000.0,False,86465516,86487344,0.025244746125148897,True
automatic/exists_distinct_256,5619000.0,5599000.0,-0.3559352197899982,1127000.0,False,78370690,78388829,0.023145132446836948,True
automatic/exists_high_selectivity,6247000.0,6304000.0,0.9124379702257084,97000.0,False,86016124,86038748,0.02630204541650819,True
automatic/exists_indexed,5886000.0,5970000.0,1.4271151885830784,350000.0,False,81834641,81854081,0.02375522121493757,True
automatic/exists_low_selectivity,5526000.0,5623000.0,1.7553384002895402,204000.0,False,77549200,77565793,0.021396739102402088,True
automatic/exists_nulls,5807000.0,6076000.0,4.632340278973652,265000.0,True,80359107,80376484,0.021624182558424895,True
automatic/exists_outer_16,5316000.0,5375000.0,1.109857035364936,180000.0,False,75302929,75311287,0.011099169860975793,True
automatic/exists_outer_256,5988000.0,5882000.0,-1.7702070808283232,669000.0,False,81835085,81854503,0.023728208994956135,True
automatic/exists_outer_1024,7879000.0,7955000.0,0.9645894149003681,635000.0,False,103683512,103733197,0.047919865986021,True
automatic/exists_skewed,6371000.0,6410000.0,0.612148799246586,288000.0,False,87065955,87087892,0.025195841474431654,True
automatic/inequality,18830000.0,6012000.0,-68.07222517259692,660000.0,False,228087288,82896497,-63.65580137021928,False
automatic/inequality_indexed,18850000.0,6001000.0,-68.16445623342175,880000.0,False,228087400,82909299,-63.650206455946275,False
automatic/nested_depth_2,28900000.0,29930000.0,3.56401384083045,1860000.0,False,348707802,348715746,0.0022781251106047807,True
automatic/nested_depth_4,29430000.0,30570000.0,3.873598369011213,1800000.0,False,354457956,354468724,0.0030378779253582336,True
automatic/scalar_first_ordered,50110000.0,52100000.0,3.9712632209139893,4290000.0,False,615738160,616005785,0.043464091944536945,True
automatic/scalar_sum_equality,34500000.0,35620000.0,3.246376811594203,2440000.0,False,415497878,415524550,0.006419286694888969,True
automatic/scalar_sum_inequality,37290000.0,38890000.0,4.290694556181282,1940000.0,False,457238088,457383432,0.03178737813285581,True
disabled/anti_or_nulls,904000.0,923200.0,2.1238938053097347,151600.0,False,11180031,11192255,0.1093378005839161,True
disabled/derived_limit,19110000.0,19720000.0,3.192046049188906,880000.0,False,232603929,232618212,0.006140480971841194,True
disabled/exists_distinct_16,1696000.0,1756000.0,3.5377358490566038,252000.0,False,20713649,20722001,0.04032123939147564,True
disabled/exists_distinct_256,30420000.0,30930000.0,1.6765285996055226,1820000.0,False,364223419,364229979,0.001801092312518213,True
disabled/exists_high_selectivity,4825000.0,4946000.0,2.5077720207253886,286000.0,False,58450697,58459049,0.014288965621744426,True
disabled/exists_indexed,18310000.0,18940000.0,3.440742763517204,1160000.0,False,221816103,221823311,0.003249538650491935,True
disabled/exists_low_selectivity,31610000.0,33229999.999999996,5.12496045555203,1180000.0,True,383972613,383978925,0.0016438672411253456,True
disabled/exists_nulls,22440000.0,23530000.0,4.857397504456328,1730000.0,False,273446373,273453325,0.0025423632150352203,True
disabled/exists_outer_16,111500.0,108500.0,-2.690582959641256,15900.0,False,1342490,1343042,0.04111762471228836,True
disabled/exists_outer_256,18650000.0,18710000.0,0.32171581769436997,1140000.0,False,221816103,221823311,0.003249538650491935,True
disabled/exists_outer_1024,73960000.0,76890000.0,3.961600865332612,3460000.0,False,887153210,887181922,0.0032364195582406784,True
disabled/exists_skewed,2792000.0,2833000.0,1.4684813753581663,131000.0,False,34449318,34457334,0.023268965731048724,True
disabled/inequality,18700000.0,19220000.0,2.7807486631016043,2000000.0,False,228087320,228094384,0.0030970594945830396,True
disabled/inequality_indexed,18780000.0,19150000.0,1.9701810436634717,1010000.0,False,228087320,228094384,0.0030970594945830396,True
disabled/nested_depth_2,28990000.0,29420000.0,1.483270093135564,2070000.0,False,348707682,348715626,0.0022781258945709145,True
disabled/nested_depth_4,29230000.0,30550000.0,4.515908313376668,1740000.0,False,354457964,354468724,0.0030356208895901686,True
disabled/scalar_first_ordered,49970000.0,51140000.0,2.3414048429057432,5050000.0,False,615734461,616007813,0.04439446178731906,True
disabled/scalar_sum_equality,34200000.0,34660000.0,1.345029239766082,1930000.0,False,415497886,415524662,0.0064443167828776874,True
disabled/scalar_sum_inequality,37490000.0,37930000.0,1.1736463056815152,1770000.0,False,457237984,457383544,0.03183462553277289,True
forced/anti_or_nulls,892900.0,422500.0,-52.68227125097995,97500.0,False,11179927,5216169,-53.34344311908298,False
forced/derived_limit,19100000.0,6406000.0,-66.46073298429319,1030000.0,False,232604320,87356853,-62.444010928085945,False
forced/exists_distinct_16,6269000.0,6390000.0,1.9301323975115647,350000.0,False,86446548,86468647,0.02556377381315446,True
forced/exists_distinct_256,5592000.0,5642000.0,0.894134477825465,275000.0,False,78371095,78387676,0.021157035001233553,True
forced/exists_high_selectivity,6265000.0,6295000.0,0.4788507581803671,665000.0,False,86017363,86039957,0.026266789880550048,True
forced/exists_indexed,5910000.0,5966000.0,0.9475465313028765,115000.0,False,81843180,81861928,0.02290722330192937,True
forced/exists_low_selectivity,5569000.0,5602000.0,0.5925659903034656,210000.0,False,77549613,77565793,0.020864062854833332,True
forced/exists_nulls,5754000.0,5826000.0,1.251303441084463,258000.0,False,80360338,80377573,0.02144714722329814,True
forced/exists_outer_16,5355000.0,5384000.0,0.5415499533146592,184000.0,False,75304168,75313360,0.012206495661700957,True
forced/exists_outer_256,5831000.0,5894000.0,1.0804321728691477,985000.0,False,81851192,81870339,0.02339245102258254,True
forced/exists_outer_1024,7884000.0,7924000.0,0.5073566717402334,1155000.0,False,103680236,103737652,0.0553779603665254,True
forced/exists_skewed,6336000.0,6429000.0,1.4678030303030303,189000.0,False,87066480,87089101,0.025981296131415903,True
forced/inequality,18760000.0,6003000.0,-68.00106609808103,1100000.0,False,228087320,82898712,-63.6548353499002,False
forced/inequality_indexed,18820000.0,6032000.0,-67.94899043570669,870000.0,False,228087208,82894018,-63.65687548773011,False
forced/nested_depth_2,28700000.0,30020000.0,4.599303135888502,1540000.0,False,348707682,348715626,0.0022781258945709145,True
forced/nested_depth_4,29490000.0,30790000.0,4.408273991183452,1380000.0,False,354457964,354468724,0.0030356208895901686,True
forced/scalar_first_ordered,49780000.0,50900000.0,2.249899558055444,1920000.0,False,615733035,616006658,0.04443857718304817,True
forced/scalar_sum_equality,34420000.0,35010000.0,1.7141196978500872,2470000.0,False,415497998,415558744,0.014620046376252336,True
forced/scalar_sum_inequality,37510000.0,38660000.0,3.0658491069048255,1600000.0,False,457238096,457383432,0.03178562794120287,True
