Timer precision: 41 ns
unnesting_execution            fastest       │ slowest       │ median        │ mean          │ samples │ iters
├─ automatic                                 │               │               │               │         │
│  ├─ anti_or_nulls            428 µs        │ 572 µs        │ 444.1 µs      │ 457 µs        │ 10      │ 10
│  ├─ derived_limit            6.102 ms      │ 6.533 ms      │ 6.39 ms       │ 6.357 ms      │ 10      │ 10
│  │                           max alloc:    │               │               │               │         │
│  │                             57          │ 57            │ 57            │ 57            │         │
│  │                             35.06 KB    │ 35.32 KB      │ 35.06 KB      │ 35.1 KB       │         │
│  │                           alloc:        │               │               │               │         │
│  │                             346         │ 347           │ 346           │ 346.2         │         │
│  │                             79.73 KB    │ 80.26 KB      │ 79.73 KB      │ 79.81 KB      │         │
│  │                           dealloc:      │               │               │               │         │
│  │                             341         │ 342           │ 341           │ 341.2         │         │
│  │                             76.44 KB    │ 76.72 KB      │ 76.44 KB      │ 76.48 KB      │         │
│  │                           grow:         │               │               │               │         │
│  │                             16          │ 16            │ 16            │ 16            │         │
│  │                             1.151 KB    │ 1.151 KB      │ 1.151 KB      │ 1.151 KB      │         │
│  │                           shrink:       │               │               │               │         │
│  │                             1           │ 1             │ 1             │ 1             │         │
│  │                             1 B         │ 1 B           │ 1 B           │ 1 B           │         │
│  ├─ exists_distinct_16       6.236 ms      │ 6.798 ms      │ 6.313 ms      │ 6.378 ms      │ 10      │ 10
│  │                           max alloc:    │               │               │               │         │
│  │                             33          │ 33            │ 33            │ 33            │         │
│  │                             13.64 KB    │ 13.64 KB      │ 13.7 KB       │ 13.67 KB      │         │
│  │                           alloc:        │               │               │               │         │
│  │                             300         │ 300           │ 300.5         │ 300.2         │         │
│  │                             38.66 KB    │ 38.66 KB      │ 38.79 KB      │ 38.74 KB      │         │
│  │                           dealloc:      │               │               │               │         │
│  │                             295         │ 295           │ 295.5         │ 295.2         │         │
│  │                             34.28 KB    │ 34.28 KB      │ 34.35 KB      │ 34.32 KB      │         │
│  │                           grow:         │               │               │               │         │
│  │                             7           │ 7             │ 7             │ 7             │         │
│  │                             60 B        │ 60 B          │ 60 B          │ 60 B          │         │
