Timer precision: 41 ns
unnesting_execution            fastest       │ slowest       │ median        │ mean          │ samples │ iters
├─ automatic                                 │               │               │               │         │
│  ├─ anti_or_nulls            417 µs        │ 1.489 ms      │ 567.2 µs      │ 662.4 µs      │ 10      │ 10
│  ├─ derived_limit            6.312 ms      │ 10.21 ms      │ 7.058 ms      │ 7.748 ms      │ 10      │ 10
│  │                           max alloc:    │               │               │               │         │
│  │                             57          │ 57            │ 57            │ 57            │         │
│  │                             35.06 KB    │ 35.32 KB      │ 35.06 KB      │ 35.1 KB       │         │
│  │                           alloc:        │               │               │               │         │
│  │                             346         │ 347           │ 346           │ 346.2         │         │
│  │                             79.73 KB    │ 80.26 KB      │ 79.73 KB      │ 79.81 KB      │         │
│  │                           dealloc:      │               │               │               │         │
│  │                             341         │ 342           │ 341           │ 341.2         │         │
│  │                             76.44 KB    │ 76.72 KB      │ 76.44 KB      │ 76.48 KB      │         │
│  │                           grow:         │               │               │               │         │
│  │                             16          │ 16            │ 16            │ 16            │         │
│  │                             1.151 KB    │ 1.151 KB      │ 1.151 KB      │ 1.151 KB      │         │
│  │                           shrink:       │               │               │               │         │
│  │                             1           │ 1             │ 1             │ 1             │         │
│  │                             1 B         │ 1 B           │ 1 B           │ 1 B           │         │
│  ├─ exists_distinct_16       6.25 ms       │ 9.226 ms      │ 6.486 ms      │ 7.209 ms      │ 10      │ 10
│  │                           max alloc:    │               │               │               │         │
│  │                             33          │ 33            │ 33            │ 33            │         │
│  │                             13.77 KB    │ 13.64 KB      │ 13.64 KB      │ 13.67 KB      │         │
│  │                           alloc:        │               │               │               │         │
│  │                             301         │ 300           │ 300           │ 300.2         │         │
│  │                             38.93 KB    │ 38.66 KB      │ 38.66 KB      │ 38.74 KB      │         │
│  │                           dealloc:      │               │               │               │         │
│  │                             296         │ 295           │ 295           │ 295.2         │         │
│  │                             34.42 KB    │ 34.28 KB      │ 34.28 KB      │ 34.32 KB      │         │
│  │                           grow:         │               │               │               │         │
│  │                             7           │ 7             │ 7             │ 7             │         │
│  │                             60 B        │ 60 B          │ 60 B          │ 60 B          │         │
│  │                           shrink:       │               │               │               │         │
│  │                             1           │ 1             │ 1             │ 1             │         │
│  │                             1 B         │ 1 B           │ 1 B           │ 1 B           │         │
│  ├─ exists_distinct_256      5.528 ms      │ 7.056 ms      │ 5.668 ms      │ 6.069 ms      │ 10      │ 10
│  │                           max alloc:    │               │               │               │         │
│  │                             33          │ 33            │ 33            │ 33            │         │
│  │                             13.64 KB    │ 13.77 KB      │ 13.64 KB      │ 13.67 KB      │         │
│  │                           alloc:        │               │               │               │         │
│  │                             300         │ 301           │ 300           │ 300.2         │         │
│  │                             38.66 KB    │ 38.93 KB      │ 38.66 KB      │ 38.74 KB      │         │
│  │                           dealloc:      │               │               │               │         │
