workload,baseline_ns,candidate_ns,native_delta_percent,native_uncertainty_ns,native_failed,baseline_instructions,candidate_instructions,instructions_delta_percent,instructions_failed
agg_group_by_having,134200.0,140700.0,4.843517138599106,24800.0,False,1520751,1506623,-0.9290146776165197,False
agg_window_functions,214700.0,214900.0,0.09315323707498836,43600.0,False,2568695,2552242,-0.6405197970175517,False
compound_union_all/4,49290.0,49890.0,1.2172854534388313,5940.0,False,562803,559947,-0.5074599815566015,False
compound_union_all/16,153000.0,153300.0,0.19607843137254902,36600.0,False,1993245,1985901,-0.3684444210320357,False
compound_union_all/64,563600.0,588600.0,4.435770049680625,109900.0,False,7708206,7682910,-0.32816974533373916,False
compound_union_distinct,134600.0,130800.00000000001,-2.823179791976215,36800.0,False,1396666,1344397,-3.7424122875476313,False
corpus_clickbench/1,40760.0,38620.0,-5.250245338567223,30300.0,False,364225,356802,-2.0380259455007206,False
corpus_clickbench/2,58640.0,59670.0,1.7564802182810368,18570.0,False,565392,555360,-1.7743441718312252,False
corpus_clickbench/3,63900.0,67440.0,5.539906103286385,45900.0,False,697831,689358,-1.2141908284384042,False
corpus_clickbench/4,48570.0,47090.0,-3.0471484455425157,20480.0,False,521773,514350,-1.42264931301543,False
corpus_clickbench/5,48380.0,49370.0,2.0463001240181895,18680.0,False,535693,528238,-1.3916552951037255,False
corpus_clickbench/6,46140.0,58930.0,27.719982661465107,43730.0,False,508694,500221,-1.6656378883965606,False
corpus_clickbench/7,61740.0,60770.0,-1.5711046323291222,40140.0,False,659531,652060,-1.1327746535037777,False
corpus_clickbench/8,85170.0,85160.0,-0.011741223435481977,54160.0,False,916763,906607,-1.107810851877748,False
corpus_clickbench/9,79120.0,79770.0,0.8215369059656218,24430.0,False,847614,839185,-0.9944385062068347,False
corpus_clickbench/10,115700.0,100200.0,-13.396715643906655,51080.0,False,1255856,1247169,-0.6917194328012128,False
corpus_clickbench/11,103900.0,90020.0,-13.358999037536092,21230.0,False,1041751,1031555,-0.9787367614717912,False
corpus_clickbench/12,103600.0,109600.0,5.7915057915057915,46210.0,False,1166021,1155809,-0.8757989778914788,False
corpus_clickbench/13,98410.0,83120.0,-15.537038918809063,29670.0,False,939548,929248,-1.0962718243240366,False
corpus_clickbench/14,103700.0,104400.0,0.6750241080038573,56210.0,False,1044451,1034319,-0.9700790175891449,False
corpus_clickbench/15,94720.0,88720.0,-6.33445945945946,32570.0,False,1068928,1058651,-0.961430517303317,False
corpus_clickbench/16,76420.0,72220.0,-5.495943470295734,15870.0,False,834365,826865,-0.8988871776740396,False
corpus_clickbench/17,85090.0,85870.0,0.9166764602185921,34850.0,False,920853,912255,-0.9336995155578578,False
corpus_clickbench/18,71890.0,81400.0,13.228543608290444,28490.0,False,838106,829550,-1.0208732546957067,False
corpus_clickbench/19,100100.0,112500.0,12.387612387612387,58250.0,False,1195258,1186631,-0.7217688565983243,False
corpus_clickbench/20,58870.0,66230.0,12.502123322575166,16020.0,False,606407,597528,-1.4641981375544808,False
corpus_clickbench/21,60010.0,60340.0,0.5499083486085652,16290.0,False,551348,541281,-1.8258885495186343,False
corpus_clickbench/22,102500.0,110800.0,8.097560975609756,39890.0,False,1187333,1175536,-0.9935713064489912,False
corpus_clickbench/23,130600.0,138900.0,6.355283307810107,34100.0,False,1599162,1585810,-0.8349372984100423,False
corpus_clickbench/24,177700.0,190100.0,6.978052898142938,45700.0,False,2603149,2592941,-0.3921404422105688,False
corpus_clickbench/25,62470.0,76440.0,22.36273411237394,19370.0,False,715040,704708,-1.444954128440367,False
corpus_clickbench/26,68500.0,75810.0,10.671532846715328,17040.0,False,718898,708702,-1.4182818703070532,False
corpus_clickbench/27,69270.0,80540.0,16.26966940955681,29770.0,False,775467,765271,-1.3148206177696795,False
corpus_clickbench/28,118000.0,117900.0,-0.0847457627118644,39860.0,False,1310859,1301967,-0.6783338253771001,False
corpus_clickbench/30,2564000.0,2668000.0,4.056162246489859,917000.0,False,40651973,40643722,-0.02029667785128166,False
corpus_clickbench/31,115000.0,144600.0,25.73913043478261,24500.0,True,1336858,1326471,-0.7769710769580613,False
corpus_clickbench/32,119000.0,134500.0,13.025210084033613,30700.0,False,1312197,1302161,-0.7648241841735653,False
corpus_clickbench/33,102000.0,109500.0,7.352941176470588,35070.0,False,1184923,1176317,-0.7262919193905427,False
corpus_clickbench/34,73240.0,86340.0,17.88640087383943,15510.0,False,790879,782359,-1.0772823655704602,False
corpus_clickbench/35,69910.0,87590.0,25.28965813188385,23250.0,False,791723,783177,-1.0794179277348264,False
corpus_clickbench/36,100400.0,112700.0,12.250996015936256,20220.0,False,1236338,1227756,-0.6941467462781213,False
corpus_clickbench/37,143900.0,156200.0,8.547602501737318,25600.0,False,1715497,1693402,-1.2879649454356377,False
corpus_clickbench/38,150900.0,154900.0,2.6507620941020544,45700.0,False,1697431,1675340,-1.3014372896453523,False
corpus_clickbench/39,141900.0,148900.0,4.933051444679352,29200.0,False,1743271,1721172,-1.2676743891225173,False
corpus_clickbench/40,196100.0,201400.0,2.7027027027027026,30500.0,False,2454898,2435844,-0.776162594128147,False
corpus_clickbench/41,164500.0,183800.0,11.732522796352583,44800.0,False,1989814,1967816,-1.1055304666667336,False
corpus_clickbench/42,164500.0,175000.0,6.382978723404255,63000.0,False,1976889,1954717,-1.1215601887612303,False
corpus_clickbench/43,150600.0,152800.0,1.4608233731739708,56000.0,False,1784151,1763598,-1.1519764862951622,False
corpus_job/1a,1796000.0,1714000.0,-4.565701559020044,208000.0,False,21003592,19589232,-6.733895802203738,False
corpus_job/1b,933300.0,852400.0,-8.66816672024001,486600.0,False,11201297,10247100,-8.518629583699102,False
corpus_job/1c,904400.0,851600.0,-5.83812472357364,228300.0,False,11155635,10192669,-8.632103864997376,False
corpus_job/1d,881400.0,792000.0,-10.142954390742002,116900.0,False,10699539,9769321,-8.694000741527276,False
corpus_job/2a,802600.0,732000.0,-8.796411662098182,347800.0,False,9440720,8567144,-9.253277292409901,False
corpus_job/2b,788400.0,718800.0,-8.82800608828006,1838500.0,False,9440732,8567156,-9.253265530681308,False
corpus_job/2c,778100.0,708500.0,-8.944865698496336,230000.0,False,9440836,8567260,-9.253163596952643,False
corpus_job/2d,768200.0,709600.0,-7.628221817235095,1227100.0,False,9440665,8567089,-9.253331200715204,False
corpus_job/3a,505000.0,481700.0,-4.6138613861386135,1540300.0000000002,False,6101934,5584389,-8.48165516047863,False
corpus_job/3b,490400.0,460400.0,-6.117455138662317,407300.0,False,5770294,5252749,-8.969127049678924,False
corpus_job/3c,516600.0,476000.0,-7.8590785907859075,142200.0,False,6171130,5653585,-8.386551571592237,False
corpus_job/4a,855600.0,789400.0,-7.737260402057036,158800.0,False,10418185,9557481,-8.26155419586041,False
corpus_job/4b,845600.0,799000.0,-5.510879848628193,202700.0,False,10418741,9558037,-8.261113314938916,False
corpus_job/4c,851300.0,815000.0,-4.264066721484788,104700.0,False,10418129,9557425,-8.261598603741612,False
corpus_job/5a,921800.0,867500.0,-5.890648730744196,176900.0,False,11168775,10192655,-8.73972302244427,False
corpus_job/5b,926500.0,880400.0,-4.975715056664868,410100.0,False,11333093,10324225,-8.901965244615923,False
corpus_job/5c,915800.0,889600.0,-2.860886656475213,301100.0,False,11242301,10266181,-8.682564183257503,False
corpus_job/6a,850000.0,765100.0,-9.988235294117647,174900.0,False,10262212,9302317,-9.353685150920679,False
corpus_job/6b,890500.0,793200.0,-10.926445816956766,342400.0,False,10596001,9636326,-9.05695460013641,False
corpus_job/6c,858800.0,783700.0,-8.744760130414532,150400.0,False,10261810,9301915,-9.354051575696685,False
corpus_job/6d,867800.0,817600.0,-5.784743028347545,165999.99999999988,False,10595577,9635902,-9.057317029549216,False
corpus_job/6e,854000.0,773900.0,-9.379391100702577,192900.0,False,10262531,9302781,-9.3519814946235,False
corpus_job/6f,852400.0,768200.0,-9.87799155326138,186400.0,False,10173229,9223193,-9.33858856416188,False
corpus_job/7a,22300000.0,22610000.0,1.390134529147982,5710000.0,False,274247737,259805841,-5.266003708172804,False
corpus_job/7b,9539000.0,9111000.0,-4.486843484641996,1687000.0,False,126113583,116276656,-7.800053543796309,False
corpus_job/7c,33980000.0,34250000.0,0.794585050029429,8260000.0,False,411828238,392712039,-4.6417892791508875,False
