tag	engine	connections	achieved_tps	p50_ms	p99_ms	p999_ms	cpu_pct_one_core
baseline	turso	8	822	3888.59	6377.88	6418.91	739
baseline	turso	16	714	5829.65	11605.66	11745.95	1540
baseline	turso-gc	8	993	1.29	4.0	29.21	197
baseline	turso-gc	16	993	1.45	4.33	26.4	206
ckpt-reclaim	turso	8	817	4243.61	7107.47	7147.38	734
ckpt-reclaim	turso	16	872	1135.87	5059.88	5122.85	1274
ckpt-reclaim	turso-gc	8	993	1.39	3.42	4.42	197
ckpt-reclaim	turso-gc	16	993	1.29	3.67	10.92	193
rightmost-leaf	turso	8	933	839.92	1894.87	1953.11	738
rightmost-leaf	turso	16	601	9835.88	19435.6	19606.43	1534
rightmost-leaf	turso-gc	8	993	1.46	4.0	21.7	205
rightmost-leaf	turso-gc	16	993	1.36	3.71	24.54	201
keep-cursors	turso	8	762	4798.06	9024.15	9083.98	739
keep-cursors	turso	16	636	8831.3	16669.56	16816.01	1536
keep-cursors	turso-gc	8	993	1.44	3.7	22.88	203
keep-cursors	turso-gc	16	993	1.35	3.65	31.56	199
p99-full	turso	8	993	1.22	3.1	4.5	141
p99-full	turso	16	993	1.37	3.69	5.84	142
