regime,query,stock_mean_seconds,proposed_mean_seconds,ratio
nostats,1,7.1427,7.1964,1.0075
nostats,2,0.1858,0.1953,1.0511
nostats,3,3.2048,3.1,0.9673
nostats,4,0.6057,0.6181,1.0204
nostats,5,1.6267,2.8075,1.7259
nostats,6,1.6231,1.6108,0.9924
nostats,7,4.9821,5.0103,1.0057
nostats,8,7.0784,1.8681,0.2639
nostats,9,4.0285,4.0143,0.9965
nostats,10,1.3472,1.3651,1.0133
nostats,11,7.9568,7.6135,0.9569
nostats,12,1.8256,1.8271,1.0008
nostats,13,2.8785,2.9094,1.0107
nostats,14,1.9903,1.985,0.9974
nostats,15,3.3801,3.3618,0.9946
nostats,16,0.5756,0.5789,1.0058
nostats,17,5.1198,5.1786,1.0115
nostats,18,2.303,2.3167,1.006
nostats,19,2.2961,2.2568,0.9829
nostats,20,2.4614,2.4458,0.9937
nostats,21,3.9074,3.856,0.9869
nostats,22,0.7349,0.7408,1.0081
analyzed,1,7.1279,7.1985,1.0099
analyzed,2,0.1959,0.2004,1.0231
analyzed,3,3.1694,3.1811,1.0037
analyzed,4,0.6041,0.6157,1.0192
analyzed,5,1.7393,1.7692,1.0172
analyzed,6,1.6339,1.6221,0.9928
analyzed,7,6.4063,6.4493,1.0067
analyzed,8,3.8541,3.8695,1.004
analyzed,9,4.2498,4.1188,0.9692
analyzed,10,1.4111,1.3971,0.9901
analyzed,11,7.4753,7.6679,1.0258
analyzed,12,1.8273,1.8148,0.9932
analyzed,13,2.9624,2.9796,1.0058
analyzed,14,1.9809,2.0152,1.0173
analyzed,15,3.3865,3.364,0.9933
analyzed,16,0.5668,0.5579,0.9843
analyzed,17,5.0797,5.1018,1.0044
analyzed,18,2.2668,2.2778,1.0048
analyzed,19,2.2483,2.2094,0.9827
analyzed,20,3.2798,2.457,0.7491
analyzed,21,3.8182,3.8445,1.0069
analyzed,22,0.71,0.7062,0.9947
