regime,query,stock_mean_seconds,proposed_mean_seconds,ratio,plan_changed
nostats,1,7.1162,7.186,1.0098,False
nostats,2,0.0295,0.0294,0.9982,False
nostats,3,2.1604,2.1744,1.0065,False
nostats,4,0.4748,0.4837,1.0187,False
nostats,5,1.1139,2.3187,2.0815,True
nostats,6,1.4099,1.3976,0.9913,False
nostats,7,4.1616,4.1342,0.9934,False
nostats,8,4.6814,1.1318,0.2418,True
nostats,9,3.8982,3.8409,0.9853,False
nostats,10,0.9293,0.9148,0.9844,False
nostats,11,5.3084,5.2824,0.9951,False
nostats,12,1.5813,1.5857,1.0028,False
nostats,13,3.0357,3.0076,0.9907,False
nostats,14,1.4823,1.512,1.0201,False
nostats,15,3.096,3.0996,1.0012,False
nostats,16,0.3023,0.3072,1.016,False
nostats,17,5.3579,5.3285,0.9945,False
nostats,18,2.0558,2.0561,1.0002,False
nostats,19,1.6554,1.6833,1.0168,False
nostats,20,2.1737,2.1773,1.0016,False
nostats,21,3.5737,3.5661,0.9979,False
nostats,22,0.6806,0.6879,1.0107,False
analyzed,1,7.1102,7.1478,1.0053,False
analyzed,2,0.0309,0.0312,1.0079,False
analyzed,3,2.2168,2.1969,0.991,False
analyzed,4,0.4722,0.4883,1.0342,False
analyzed,5,1.2334,1.2329,0.9995,False
analyzed,6,1.4128,1.4245,1.0083,False
analyzed,7,5.6945,5.7537,1.0104,False
analyzed,8,2.5612,2.5796,1.0072,False
analyzed,9,3.9757,4.0167,1.0103,True
analyzed,10,0.9631,0.9775,1.0149,False
analyzed,11,5.2794,5.2886,1.0017,True
analyzed,12,1.5958,1.571,0.9845,False
analyzed,13,3.1622,3.2073,1.0143,False
analyzed,14,1.4913,1.4887,0.9982,False
analyzed,15,3.0944,3.0955,1.0004,True
analyzed,16,0.3077,0.305,0.9914,False
analyzed,17,5.3936,5.3788,0.9973,False
analyzed,18,2.0777,2.0645,0.9936,False
analyzed,19,1.6981,1.6771,0.9877,False
analyzed,20,3.0443,2.2068,0.7249,True
analyzed,21,3.6232,3.6393,1.0045,False
analyzed,22,0.6864,0.6736,0.9813,False
